"","playerID","yearID","stint","POS","G","GS","InnOuts","PO","A","E","DP"
"1099","stoddbo01",1985,1,"P",8,0,40,2,3,0,1
"1100","stoddti01",1985,1,"P",44,0,180,3,5,0,0
"1101","stoneje01",1985,1,"OF",69,66,1506,82,4,3,0
"1102","strawda01",1985,1,"OF",110,108,2938,211,5,2,2
"1103","stubbfr01",1985,1,"1B",4,0,30,11,0,0,1
"1104","stupejo01",1985,1,"P",33,13,297,12,14,0,0
"1105","sullima02",1985,1,"C",32,23,622,129,8,1,1
"1106","sundbji01",1985,1,"C",112,107,2881,572,41,5,10
"1107","surhori01",1985,1,"P",2,0,3,0,0,0,0
"1108","surhori01",1985,2,"P",7,0,25,0,0,0,0
"1109","sutclri01",1985,1,"P",20,20,390,12,23,1,0
"1110","suttebr01",1985,1,"P",58,0,265,5,13,0,0
"1111","suttodo01",1985,1,"P",29,29,583,7,31,4,1
"1112","suttodo01",1985,2,"P",5,5,95,1,1,0,0
"1113","swaggbi01",1985,1,"P",1,0,5,0,0,0,0
"1114","swiftbi02",1985,1,"P",23,21,362,10,18,1,1
"1115","tablepa01",1985,1,"1B",92,83,2186,739,72,14,77
"1116","tablepa01",1985,1,"2B",1,0,6,1,2,0,1
"1117","tablepa01",1985,1,"3B",4,4,69,4,3,0,0
"1118","tananfr01",1985,1,"P",13,13,233,5,11,1,1
"1119","tananfr01",1985,2,"P",20,20,412,9,20,0,1
"1120","tannebr01",1985,1,"P",10,4,81,3,7,1,1
"1121","tartada01",1985,1,"3B",4,4,75,2,6,0,0
"1122","tartada01",1985,1,"SS",16,12,336,26,37,4,11
"1123","tekulke01",1985,1,"P",3,0,10,0,1,0,0
"1124","tekulke01",1985,2,"P",58,0,217,4,13,0,0
"1125","tellmto01",1985,1,"P",11,0,64,0,4,0,0
"1126","templga01",1985,1,"SS",148,148,3830,245,460,23,96
"1127","terrewa01",1985,1,"P",34,34,687,21,43,2,8
"1128","tettlmi01",1985,1,"C",76,66,1759,344,24,4,9
"1129","teufeti01",1985,1,"2B",137,127,3321,237,352,12,67
"1130","thomaan01",1985,1,"SS",10,2,114,6,17,2,2
"1131","thomade01",1985,1,"2B",1,0,3,0,0,1,0
"1132","thomade01",1985,1,"3B",1,0,6,0,0,0,0
"1133","thomade01",1985,1,"C",1,0,6,3,0,0,0
"1134","thomade01",1985,1,"OF",7,2,70,7,1,0,0
"1135","thomade01",1985,1,"SS",21,13,333,21,37,6,4
"1136","thomaro02",1985,1,"P",40,0,281,7,7,0,1
"1137","thompja01",1985,1,"1B",114,114,3027,995,82,9,69
"1138","thompmi02",1985,1,"OF",49,36,932,78,2,3,0
"1139","thompri01",1985,1,"P",57,0,240,2,7,3,1
